Title,Authors
Сравнительный анализ показателей жесткости и стрейна левого желудочка у пациентов с ишемической болезнью сердца в зависимости от наличия сопутствующей фибрилляции предсердий,Кочетков А.И.
Антагонисты минералокортикоидных рецепторов у пациентов с хронической сердечной недостаточностью: мифы и реальность,Кочетков А.И.
Фиксированная комбинация гликопиррония бромид / индакатерол / мометазон у пациентов с тяжелой неконтролируемой бронхиальной астмой,Кочетков А.И.
Проблема врожденной атрезии хоан в педиатрической практике,Кочетков А.И.
Влияние урсодезоксихолевой кислоты на симптомы и качество жизни пациентов с билиарным сладжем (исследование АУРА),Кочетков А.И.
Клиническое значение определения маркеров цитомегаловируса при циррозе печени,Кочетков А.И.
Показатели иммунного статуса пациентов с рецидивирующей герпетической инфекцией,Кочетков А.И.
Микст-инфекция: корь и эпидемический паротит (клиническое наблюдение),Кочетков А.И.
"Концентрации остеокластогенных цитокинов у женщин постменопаузальноговозраста, инфицированных Helicobacter pylori",Кочетков А.И.
Провоспалительные цитокины при ревматоидном артрите: связь с активностью и субтипами заболевания,Кочетков А.И.
Макрофаг как мишень противовоспалительной терапии,Кочетков А.И.
Нормативно-правовое регулирование оказания медицинской помощи детям на примере заболеваний: прогрессирующая мышечная дистрофия Дюшенна и прогрессирующая мышечная дистрофия Беккера,Кочетков А.И.
